type,field,cs_type
sdfModelNode_t,parent,sdfModelNode_t
sdfModelNode_t,children,sdfModelNode_t
sdfModelNode_t,root,sdfModelRootNode_t
sdfModelNode_t,flags,ushort
sdfModelNode_t,drawAttr,ushort
sdfModelNode_t,id,uint
sdfModelNode_t,color,uint
sdfModelNode_t,drawPacketMemHandle,Il2CppReferenceArray<sdfMemHandle_t>
sdfModelNode_t,drawPacket,Il2CppReferenceArray<sdfModelPacketHeader_tag>
sdfModelNode_t,tmPacket,Il2CppSystem.Object
sdfModelNode_t,bounds,float
sdfModelNode_t,shape,sdfModelNodeDef_t
sdfModelNode_t,pad0,uint
sdfModelNode_t,userData,Il2CppSystem.Object
sdfModelNode_t,pad1,Il2CppStructArray<uint>
sdfModelNode_t,rotate,Vector4
sdfModelNode_t,pos,Vector4
sdfModelNode_t,scale,Vector4
sdfModelNode_t,localNoScaledTm,Matrix4x4
sdfModelNode_t,tm,Matrix4x4
sdfModelPacketHeader_tag,next,sdfModelPacketHeader_tag
sdfModelPacketHeader_tag,type,byte
sdfModelPacketHeader_tag,otIndex,byte
sdfModelPacketHeader_tag,size,ushort
sdfModelPacketHeader_tag,dataPtr,Il2CppSystem.Object
sdfModelPacketHeader_tag,memHandle,sdfMemHandle_t
sdfMotionPlayBook_t,numOfCut,ushort
sdfMotionPlayBook_t,numOfNode,ushort
sdfMotionPlayBook_t,cutList,Il2CppReferenceArray<sdfMotionCutDef_t>
sdfMotionPlayBook_t,nodeDefList,Il2CppReferenceArray<sdfMotionNodeDef_t>
sdfMotionCtrlr_t,next,sdfMotionCtrlr_t
sdfMotionCtrlr_t,rootNode,sdfModelRootNode_t
sdfMotionCtrlr_t,playbook,sdfMotionPlayBook_t
sdfMotionCtrlr_t,playbookMemHandle,sdfMemHandle_t
sdfMotionCtrlr_t,nodeList,sdfMotionNodeList_t
sdfMotionCtrlr_t,blendLength,float
sdfMotionCtrlr_t,blendPreLength,float
sdfMotionCtrlr_t,frame,float
sdfMotionCtrlr_t,speed,float
sdfMotionCtrlr_t,userData,Il2CppSystem.Object
sdfMotionCtrlr_t,userId,short
sdfMotionCtrlr_t,userId2,short
sdfMotionCtrlr_t,cutNumber,ushort
sdfMotionCtrlr_t,frameLength,ushort
sdfMotionCtrlr_t,stat,byte
sdfMotionCtrlr_t,statBeforePause,byte
sdfMotionCtrlr_t,playType,byte
sdfMotionCutDef_t,frameLength,uint
sdfMotionCutDef_t,cutChunk,Il2CppReferenceArray<sdfMotionCutChunk_t>
sdfMotionCutChunk_t,size,uint
sdfMotionCutChunk_t,numOfKey,ushort
sdfMotionCutChunk_t,keyElemSize,ushort
sdfMotionCutChunk_t,pad,uint
sdfMotionCutChunk_t,keyFrameList,Il2CppStructArray<ushort>
sdfMotionNodeDef_t,typeId,uint
sdfMotionNodeDef_t,nodeId,uint
sdfMotionNodeList_t,memHandle,sdfMemHandle_t
sdfMotionNodeList_t,count,short
sdfMotionNodeList_t,capacity,short
sdfMotionNodeList_t,elemSize,short
sdfMotionNodeList_t,growStep,short
sdfMotionNodeList_t,items,Il2CppReferenceArray<sdfMotionNode_t>
sdfMotionNode_t,vtbl,sdfMotionNodeVTBL_t
sdfMotionNode_t,owner,sdfMotionCtrlr_t
sdfMotionNode_t,table,sdfMotionCutChunk_t
