class,wrapper_file,native_name,token_dec,method,access,is_static,system
fclEncyc,fclEncyc.cs,DrawPhaseReadView_Internal_Static_Void_instance_tag_0,100667677,DrawPhaseReadView,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,CanControl_Internal_Static_Boolean_instance_tag_0,100667678,CanControl,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,AcceptKeyRegistConfirm_Internal_Static_Void_instance_tag_0,100667679,AcceptKeyRegistConfirm,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,AcceptKeyRegistConfirm_Private_Static_Void_instance_tag_UInt32_UInt32_0,100667680,AcceptKeyRegistConfirm,Private,True,facility_compendium
fclEncyc,fclEncyc.cs,CalcConfirmStatus_Internal_Static_Void_registconfirmwork_tag_0,100667681,CalcConfirmStatus,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,GetValidUnitIndex_Internal_Static_Int32_Il2CppStructArray_1_Byte_0,100667682,GetValidUnitIndex,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,RegistAll_Internal_Static_Int32_instance_tag_0,100667683,RegistAll,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,InitListWindow_Internal_Static_Void_lstListWindow_t_fclPanel_t_sdfIVector4_t_sdfIVector4_t_sdfIVector4_t_Int32_Int32_Int32_0,100667684,InitListWindow,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,PushListwinCursor_Internal_Static_Void_instance_tag_lstListWindow_t_Int32_0,100667685,PushListwinCursor,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,PopListwinCursor_Internal_Static_Void_instance_tag_lstListWindow_t_Int32_0,100667686,PopListwinCursor,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,SetForceListwinCursor_Internal_Static_Void_lstListWindow_t_Int32_Int32_0,100667687,SetForceListwinCursor,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,AdjustStackCursor_Internal_Static_Void_Int32_byref_Int16_byref_Int16_0,100667688,AdjustStackCursor,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,ResetReadMainRibbon_Internal_Static_Void_readmainwork_tag_0,100667689,ResetReadMainRibbon,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,AcceptKeyChangeSort_Internal_Static_Int32_instance_tag_0,100667690,AcceptKeyChangeSort,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,AcceptKeyChangeSort_Private_Static_Int32_instance_tag_UInt32_0,100667691,AcceptKeyChangeSort,Private,True,facility_compendium
fclEncyc,fclEncyc.cs,ApplyChangeListIndex_Internal_Static_Void_lstListWindow_t_Il2CppStructArray_1_Int16_Int32_0,100667692,ApplyChangeListIndex,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,ApplyEdgeListCursor_Internal_Static_Void_lstListWindow_t_0,100667693,ApplyEdgeListCursor,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,AcceptKeyListWindow_Internal_Static_Int32_lstListWindow_t_Int32_0,100667694,AcceptKeyListWindow,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,CreateSortIndexByRace_Internal_Static_Void_byref_Il2CppStructArray_1_Int16_0,100667695,CreateSortIndexByRace,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,CreateSortIndexByLevel_Internal_Static_Void_byref_Il2CppStructArray_1_Int16_0,100667696,CreateSortIndexByLevel,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,FillIndex_Internal_Static_Void_byref_Il2CppStructArray_1_Int16_byref_Int32_0,100667697,FillIndex,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,SetElem_Internal_Static_Void_fclencyceelem_t_datUnitWork_t_0,100667698,SetElem,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,SetElem2_Internal_Static_Void_fclencyceelem_t_fclencyceelem_t_0,100667699,SetElem2,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,SetRecordToUnit_Internal_Static_Void_datUnitWork_t_Int32_0,100667700,SetRecordToUnit,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,SetRecordToUnitCore_Internal_Static_Void_datUnitWork_t_fclencyceelem_t_0,100667701,SetRecordToUnitCore,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,CompareUnitToRecord_Internal_Static_Int32_datUnitWork_t_fclencyceelem_t_0,100667702,CompareUnitToRecord,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,ExecSummon_Internal_Static_Void_Int32_0,100667703,ExecSummon,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,CreateFontListRead_Internal_Static_Void_readtopwork_tag_Int32_Il2CppStructArray_1_Int16_0,100667704,CreateFontListRead,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,ReleaseFontList_Internal_Static_Void_Il2CppReferenceArray_1__FRQ_Int32_0,100667705,ReleaseFontList,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,CreateFontExplain_Internal_Static_Void_instance_tag_0,100667706,CreateFontExplain,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,ReleaseFontExplain_Internal_Static_Void_instance_tag_Int32_0,100667707,ReleaseFontExplain,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,FadeOutRibbon_Internal_Static_Void_readmainwork_tag_0,100667708,FadeOutRibbon,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,FadeInRibbon_Internal_Static_Void_readmainwork_tag_0,100667709,FadeInRibbon,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,GetDevilParam_Internal_Static_Int32_fclencyceelem_t_Int32_0,100667710,GetDevilParam,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,PrepSummon_Internal_Static_Int32_readmainwork_tag_0,100667711,PrepSummon,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,CalcFadeAlpha_Internal_Static_Int32_byref_Int16_Int32_Int32_Int32_0,100667712,CalcFadeAlpha,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,CalcListElemColor_Internal_Static_Void_lstListWindow_t_Il2CppReferenceArray_1__FRQ_Int32_UInt32_0,100667713,CalcListElemColor,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,RequestModelLoad_Internal_Static_Void_instance_tag_Int32_0,100667714,RequestModelLoad,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,SetScreenOffset_Internal_Static_Void_instance_tag_Int32_0,100667715,SetScreenOffset,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,MoveScreenOffset_Internal_Static_Void_instance_tag_0,100667716,MoveScreenOffset,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,Set3DParam_Internal_Static_Void_instance_tag_0,100667717,Set3DParam,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,SetCameraLightParam_Internal_Static_Void_instance_tag_0,100667718,SetCameraLightParam,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,ControlModel_Internal_Static_Void_instance_tag_dds3ModelHandle_t_UInt32_0,100667719,ControlModel,Internal,True,facility_compendium
fclEncyc,fclEncyc.cs,GetViewModeKey_Internal_Static_UInt32_instance_tag_0,100667720,GetViewModeKey,Internal,True,facility_compendium
