class,wrapper_file,native_name,token_dec,method,access,is_static,system
fclShopInit,fclShopInit.cs,fclShopProcessStart_Public_Static_Void_Object_0,100668054,fclShopProcessStart,Public,True,facility_shop
fclShopInit,fclShopInit.cs,fclShopProcessEnd_Public_Static_Int32_0,100668055,fclShopProcessEnd,Public,True,facility_shop
fclShopInit,fclShopInit.cs,fclChkShopProcess_Public_Static_SByte_0,100668056,fclChkShopProcess,Public,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpAddServiceTicket_Private_Static_Int32_Int32_0,100668058,shpAddServiceTicket,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpGetItemFromItemBox_Private_Static_UInt16_Int32_0,100668059,shpGetItemFromItemBox,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpExit_Private_Static_Void_0,100668060,shpExit,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateSeqBuy_Private_Static_Void_0,100668061,shpUpdateSeqBuy,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateSeqSell_Private_Static_Void_0,100668062,shpUpdateSeqSell,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateSeqBuyNums_Private_Static_Void_0,100668063,shpUpdateSeqBuyNums,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateSeqSellNums_Private_Static_Void_0,100668064,shpUpdateSeqSellNums,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateSeqConfirm_Private_Static_SByte_SByte_0,100668065,shpUpdateSeqConfirm,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateSeqPay_Private_Static_Void_0,100668066,shpUpdateSeqPay,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpServiceTicketItem_Private_Static_Void_0,100668067,shpServiceTicketItem,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpServiceTicket_Private_Static_Void_0,100668068,shpServiceTicket,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateServiceTicket_Private_Static_Void_0,100668069,shpUpdateServiceTicket,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateServiceTicketItem_Private_Static_Void_0,100668070,shpUpdateServiceTicketItem,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateSeqRoot_Private_Static_Void_0,100668071,shpUpdateSeqRoot,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateSeqTalk_Private_Static_Void_0,100668072,shpUpdateSeqTalk,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdateSeqErr_Private_Static_Void_0,100668073,shpUpdateSeqErr,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdatePanelMover_Private_Static_Void_0,100668074,shpUpdatePanelMover,Private,True,facility_shop
fclShopUpdate,fclShopUpdate.cs,shpUpdate_Public_Static_Object_dds3ProcessID_t_0,100668075,shpUpdate,Public,True,facility_shop
