file,namespace,type,vis,ret,name,params,caller_count,il2cpp_token,rva,original_name,metadata_token_int
Il2Cpp/GlobalData.cs,Il2Cpp,GlobalData,public,bool,CheckDLCKey,string key,1,,,,100674440.0
Il2Cpp/GlobalData.cs,Il2Cpp,GlobalData,public,string,DLCGetFieldSeKey,"string key, int no",1,,,,100674459.0
Il2Cpp/GlobalData.cs,Il2Cpp,GlobalData,public,bool,IsFieldBGMLoaded,string key,1,,,,100674450.0
Il2Cpp/GlobalData.cs,Il2Cpp,GlobalData,public,void,LoadFieldBGM,string key,1,,,,100674448.0
Il2Cpp/GlobalData.cs,Il2Cpp,GlobalData,public,bool,ReplaceDLCName,"ref string key, string name",1,,,,100674447.0
Il2Cpp/GlobalData.cs,Il2Cpp,GlobalData,public,void,RemoveDLC,string key,0,,,,100674453.0
Il2Cpp/Localize.cs,Il2Cpp,Localize,public,void,LoadLocalizeText,"string key, string filename",96,,,,100674520.0
Il2Cpp/Localize.cs,Il2Cpp,Localize,public,void,Remove,string key,62,,,,100674525.0
Il2Cpp/Localize.cs,Il2Cpp,Localize,public,EventEMsgData,GetData,string key,7,,,,100674524.0
Il2Cpp/Localize.cs,Il2Cpp,Localize,public,void,LoadEventData,"string key, string name, int eventno, bool check = false",3,,,,100674521.0
Il2Cpp/Localize.cs,Il2Cpp,Localize,public,void,Load,"string key, string filePath",1,,,,100674523.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,RemoveKeys,"SndAssetBundleManager.SNDDIR type, string key = null",32,,,,100674720.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,LoadKeys,"SndAssetBundleManager.SNDDIR type, string key, string path = null",29,,,,100674710.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,string,IsLocalizeKey,string key,11,,,,100674725.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,_loadse,string key,7,,,,
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,LoadEventVoice,"int eventno, string key, EventEMsgData data",6,,,,100674724.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,_loadbgm,"SndAssetBundleManager.SNDDIR type, string key",4,,,,
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,LoadKeysSE1,"SndAssetBundleManager.SNDDIR type, string key, string se_name",2,,,,100674715.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,LoadFNPCVoice,string key,1,,,,100674727.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,int,LoadKeysMSE,"string key, int idx",1,,,,100674717.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,string,VoiceCommonKey,"string key, string name",1,,,,100674723.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,_loadvoice,"string key, string path",1,,,,
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,bool,load_voice,"int eventno, string key, string name, string voice, EventEMsgData data, int i, bool replace",1,,,,
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,LoadBossAIMSG,string key,0,,,,100674722.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,LoadKeysBGM1,"SndAssetBundleManager.SNDDIR type, string key, string bgm_name",0,,,,100674712.0
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,_loadbgm2,"string key, string bgm_name",0,,,,
Il2Cpp/SndAssetBundleManager.cs,Il2Cpp,SndAssetBundleManager,public,void,_loadse2,"string key, string se_name",0,,,,
